"","X","Gemeente","X11.Mar","X12.Mar","X13.Mar","X14.Mar","X15.Mar","X16.Mar","X17.Mar","X18.Mar","X19.Mar","X20.Mar","X21.Mar","X22.Mar","X23.Mar","X24.Mar","X25.Mar","X26.Mar","X27.Mar","X28.Mar"
"1",1,"'s-Gravenhage",7,7,8,9,10,14,17,21,27,NA,44,NA,53,63,81,103,124,161
"2",2,"'s-Hertogenbosch",5,8,11,14,14,20,24,30,35,NA,45,NA,60,67,75,87,108,117
"3",3,"Aa en Hunze",0,0,0,0,0,0,0,0,0,NA,0,NA,1,1,1,3,3,4
"4",4,"Aalsmeer",2,2,3,3,3,3,3,3,4,NA,5,NA,8,9,10,11,12,16
"5",5,"Aalten",0,0,0,0,0,0,0,0,0,NA,1,NA,1,1,2,2,3,3
"6",6,"Achtkarspelen",0,0,0,0,0,0,0,0,0,NA,0,NA,0,0,1,1,2,2
"7",7,"Alblasserdam",0,0,0,0,0,0,1,1,2,NA,3,NA,4,4,5,6,6,6
"8",8,"Albrandswaard",1,1,1,1,1,2,3,4,4,NA,8,NA,14,18,18,19,21,23
"9",9,"Alkmaar",1,1,1,1,1,2,2,5,9,NA,11,NA,16,20,24,29,36,42
"10",10,"Almelo",1,1,1,1,1,1,1,1,2,NA,4,NA,7,8,10,12,14,15
"11",11,"Almere",1,1,1,2,2,3,3,4,5,NA,11,NA,18,21,28,32,39,48
"12",12,"Alphen aan den Rijn",2,3,4,6,6,6,6,9,10,NA,15,NA,17,20,22,30,32,35
"13",13,"Alphen-Chaam",0,0,0,1,1,2,3,6,6,NA,7,NA,14,15,16,19,19,21
"14",14,"Altena",4,5,8,9,10,12,12,15,19,NA,22,NA,25,28,35,35,39,41
"15",15,"Ameland",0,0,0,0,0,0,0,0,0,NA,0,NA,0,0,0,0,0,0
"16",16,"Amersfoort",2,4,4,4,10,18,21,23,30,NA,37,NA,41,44,47,54,59,63
"17",17,"Amstelveen",2,2,3,3,3,4,6,7,13,NA,26,NA,29,33,35,46,52,63
"18",18,"Amsterdam",8,11,20,31,31,39,56,61,85,NA,161,NA,203,250,297,351,411,477
"19",19,"Apeldoorn",1,2,2,3,3,7,7,10,11,NA,16,NA,26,29,34,39,49,52
"20",20,"Appingedam",0,0,0,0,0,0,0,0,0,NA,0,NA,0,0,0,0,1,1
"21",21,"Arnhem",3,4,4,4,7,7,8,9,10,NA,15,NA,20,23,25,34,46,52
"22",22,"Assen",0,0,0,0,0,0,0,0,0,NA,1,NA,4,5,5,7,8,10
"23",23,"Asten",0,0,0,0,1,1,2,2,2,NA,5,NA,5,6,6,6,8,10
"24",24,"Baarle-Nassau",0,0,0,0,0,0,0,0,0,NA,1,NA,1,1,2,2,2,2
"25",25,"Baarn",0,0,0,0,0,0,0,0,2,NA,1,NA,2,2,4,5,5,6
"26",26,"Barendrecht",0,1,1,1,3,3,3,3,4,NA,9,NA,13,15,16,19,21,28
"27",27,"Barneveld",0,0,0,0,2,3,4,5,6,NA,8,NA,10,12,13,13,17,19
"28",28,"Beek",0,0,0,0,3,3,3,3,3,NA,5,NA,5,9,13,13,13,14
"29",29,"Beekdaelen",8,8,8,9,12,13,15,18,18,NA,19,NA,20,29,30,32,34,37
"30",30,"Beemster",0,0,0,0,0,0,0,0,0,NA,0,NA,0,1,2,2,4,4
"31",31,"Beesel",0,0,0,0,0,0,0,0,0,NA,3,NA,5,6,7,8,11,13
"32",32,"Berg en Dal",3,3,5,6,6,10,14,14,18,NA,25,NA,33,35,37,43,44,53
"33",33,"Bergeijk",1,1,1,1,1,1,1,1,1,NA,1,NA,3,5,10,11,13,14
